time_seconds,Tin_degC,Tout_degC,Psol_Wm2,action,energy_kWh,discomfort
20185200,21.757836914062523,17.399987792968773,1.0,0,17.858359814418474,2922.5454122159917
20187000,21.772485351562523,17.300012207031273,1.0,0,17.858359814418474,2922.5454122159917
20188800,21.774987792968773,17.200006103515648,0.5,0,17.858359814418474,2922.5454122159917
20190600,21.766656494140648,17.100000000000023,0.0,0,17.858359814418474,2922.5454122159917
20192400,21.749139404296898,16.999993896484398,0.0,0,17.858359814418474,2922.5454122159917
20194200,21.726007080078148,17.003411865234398,0.0,0,17.858359814418474,2922.5454122159917
20196000,21.698266601562523,16.999993896484398,0.0,0,17.858359814418474,2922.5454122159917
20197800,21.628106689453148,15.855523681640648,0.0,0,17.858359814418474,2922.5454122159917
20199600,21.501245117187523,14.499993896484398,0.0,0,17.858359814418474,2922.5454122159917
20201400,21.397515869140648,14.059533691406273,0.0,0,17.858359814418474,2922.5454122159917
20203200,21.312921142578148,13.999993896484398,0.0,0,17.858359814418474,2922.5454122159917
20205000,21.321343994140648,14.232690429687523,0.0,0,17.858359814418474,2922.5454122159917
20206800,21.286614990234398,14.499993896484398,0.0,0,17.858359814418474,2922.5454122159917
20208600,21.259088134765648,14.794702148437523,0.0,0,17.858359814418474,2922.5454122159917
20210400,21.237145996093773,15.100000000000023,0.0,0,17.858359814418474,2922.5454122159917
20212200,21.220788574218773,15.450006103515648,0.0,0,17.858359814418474,2922.5454122159917
20214000,21.209497070312523,15.800012207031273,0.0,0,17.858359814418474,2922.5454122159917
20215800,21.199090576171898,16.083337402343773,0.0,0,17.858359814418474,2922.5454122159917
20217600,21.187554931640648,16.300012207031273,0.0,0,17.858359814418474,2922.5454122159917
20219400,21.173852539062523,16.457086181640648,0.0,0,17.858359814418474,2922.5454122159917
20221200,21.159173583984398,16.600000000000023,0.0,0,17.858359814418474,2922.5454122159917
20223000,21.147302246093773,16.802819824218773,0.0,0,17.858359814418474,2922.5454122159917
20224800,21.139001464843773,16.999993896484398,0.0,0,17.858359814418474,2922.5454122159917
20226600,21.104730224609398,16.350213623046898,0.0,0,17.858359814418474,2922.5454122159917
20228400,21.030053710937523,15.600000000000023,0.0,0,17.858359814418474,2922.5467127289567
20230200,20.986871337890648,15.656304931640648,0.0,0,17.858359814418474,2922.5604856981663
20232000,20.958184814453148,15.700006103515648,0.0,0,17.858359814418474,2922.589581127301
20233800,20.924432373046898,15.612756347656273,0.0,0,17.858359814418474,2922.6368370148475
20235600,20.885888671875023,15.499993896484398,0.0,0,17.858359814418474,2922.7044085694993
20237400,20.842797851562523,15.301660156250023,0.0,0,17.858359814418474,2922.7946998974367
20239200,20.796136474609398,15.100000000000023,0.0,0,17.858359814418474,2922.90673926711
20241000,20.758874511718773,15.177514648437523,0.0,0,17.858359814418474,2923.0334903029325
20242800,20.734735107421898,15.300012207031273,0.0,0,17.858359814418474,2923.1736847492275
20244600,20.701623535156273,14.985589599609398,0.0,0,17.858359814418474,2923.3324700352005
20246400,20.666223144531273,14.700006103515648,0.0,0,17.858359814418474,2923.501668498602
20248200,20.662988281250023,14.877954101562523,0.0,0,17.858359814418474,2923.664956808693
20250000,20.686791992187523,15.100000000000023,0.35416666,0,17.858359814418474,2923.8137697440948
20251800,20.717736816406273,15.067010498046898,1.0,0,17.858359814418474,2923.9477140235394
20253600,20.746057128906273,14.999993896484398,1.932598,0,17.858359814418474,2924.0650337354773
20255400,20.792016601562523,15.634454345703148,3.0,0,17.858359814418474,2924.1513020517223
20257200,20.860009765625023,16.300012207031273,1.7310925,0,17.858359814418474,2924.218770302691
20259000,20.848168945312523,14.870965576171898,0.0,0,17.858359814418474,2924.310434403431
20260800,20.795281982421898,13.600000000000023,6.1714287,0,17.858359814418474,2924.4041004212877
20262600,20.842980957031273,14.030023193359398,13.0,0,17.858359814418474,2924.4605443543264
20264400,20.935540771484398,14.499993896484398,8.791348,0,17.858359814418474,2924.470139675177
20266200,21.049279785156273,15.008996582031273,3.0,0,17.858359814418474,2924.470139675177
20268000,21.162347412109398,15.499993896484398,3.2432034,0,17.858359814418474,2924.470139675177
20269800,21.241174316406273,15.320306396484398,12.0,0,17.858359814418474,2924.470139675177
20271600,21.312432861328148,15.100000000000023,36.43829,0,17.858359814418474,2924.470139675177
20273400,21.441918945312523,15.520410156250023,69.0,0,17.858359814418474,2924.470139675177
20275200,21.573449707031273,15.999993896484398,112.02537,0,17.858359814418474,2924.470139675177
20277000,21.685876464843773,16.576593017578148,150.0,0,17.858359814418474,2924.470139675177
20278800,21.767449951171898,17.100000000000023,121.8851,0,17.858359814418474,2924.470139675177
20280600,21.779626464843773,16.693719482421898,77.0,0,17.858359814418474,2924.470139675177
20282400,21.714379882812523,15.999993896484398,78.11321,0,17.858359814418474,2924.470139675177
20284200,21.649072265625023,16.061456298828148,76.0,0,17.858359814418474,2924.470139675177
20286000,21.588372802734398,15.999993896484398,33.31419,0,17.858359814418474,2924.470139675177
20287800,21.490289306640648,15.404718017578148,0.0,0,17.858359814418474,2924.470139675177
20289600,21.373376464843773,14.800012207031273,0.0,0,17.858359814418474,2924.470139675177
20291400,21.271722412109398,14.408013916015648,0.0,0,17.858359814418474,2924.470139675177
20293200,21.178521728515648,13.999993896484398,0.0,0,17.858359814418474,2924.470139675177
20295000,21.079339599609398,13.341149902343773,0.0,0,17.858359814418474,2924.471730504545
20296800,20.974359130859398,12.700006103515648,0.0,0,17.858359814418474,2924.5091759092766
20298600,20.877770996093773,12.381707763671898,0.0,0,17.858359814418474,2924.592613810907
20300400,20.788934326171898,12.100000000000023,0.0,0,17.858359814418474,2924.7214313966024
20302200,20.693811035156273,11.529412841796898,0.0,0,17.858359814418474,2924.8994576244954
20304000,20.595483398437523,11.100000000000023,0.0,0,17.858359814418474,2925.123104725087
20305800,20.512231445312523,11.081933593750023,0.0,0,17.858359814418474,2925.385436841863
20307600,20.439752197265648,11.100000000000023,0.0,0,17.858359814418474,2925.6824659952317
20309400,20.373010253906273,11.105554199218773,0.0,0,17.858359814418474,2926.0123238917545
20311200,20.306542968750023,10.999993896484398,0.0,0,17.858359814418474,2926.377980038532
20313000,20.228417968750023,10.611108398437523,0.0,0,17.858359814418474,2926.785835106729
20314800,20.138848876953148,10.100000000000023,0.0,0,17.858359814418474,2927.239954075516
20316600,20.043908691406273,9.600549316406273,0.0,0,17.858359814418474,2927.7427104468325
20318400,19.944360351562523,9.100000000000023,0.0,1,17.868344133739182,2928.2505490334433
20320200,20.092126464843773,8.620843505859398,0.0,1,17.87836851995626,2928.6209898148936
20322000,20.439019775390648,8.200006103515648,0.0,1,17.888494720818205,2928.8031195993167
20323800,20.838494873046898,8.226861572265648,0.0,1,17.898760499736323,2928.818573206457
20325600,21.269982910156273,8.700006103515648,0.0,1,17.909187520028414,2928.818573206457
20327400,21.692437744140648,9.415612792968773,0.0,1,17.919790471744836,2928.818573206457
20329200,22.097833251953148,10.100000000000023,0.0,0,17.919879500376144,2928.818573206457
20331000,22.293298339843773,10.292199707031273,0.0,0,17.919879500376144,2928.818573206457
20332800,22.234552001953148,10.499993896484398,0.0,0,17.919879500376144,2928.818573206457
20334600,22.125390625000023,11.135949707031273,0.0,0,17.919879500376144,2928.818573206457
20336400,22.025811767578148,11.800012207031273,0.37295082,0,17.919879500376144,2928.818573206457
20338200,21.934716796875023,12.056237792968773,1.0,0,17.919879500376144,2928.818573206457
20340000,21.858331298828148,12.499993896484398,2.3051152,0,17.919879500376144,2928.818573206457
20341800,21.845361328125023,13.572869873046898,5.0,0,17.919879500376144,2928.818573206457
20343600,21.923272705078148,14.700006103515648,92.19694,0,17.919879500376144,2928.818573206457
20345400,22.149438476562523,15.710809326171898,191.0,0,17.919879500376144,2928.818573206457
20347200,22.407586669921898,16.700006103515648,177.18695,0,17.919879500376144,2928.818573206457
20349000,22.655389404296898,17.633325195312523,168.0,0,17.919879500376144,2928.818573206457
20350800,22.918939208984398,18.300012207031273,208.73492,0,17.919879500376144,2928.818573206457
20352600,23.159478759765648,18.367639160156273,249.0,0,17.919879500376144,2928.818573206457
20354400,23.364160156250023,18.300012207031273,279.56146,0,17.919879500376144,2928.818573206457
20356200,23.558862304687523,18.555291748046898,309.0,0,17.919879500376144,2928.818573206457
20358000,23.749566650390648,18.800012207031273,382.94278,0,17.919879500376144,2928.818573206457
20359800,23.913873291015648,18.696282958984398,457.0,0,17.919879500376144,2928.818573206457
20361600,23.995507812500023,18.600000000000023,378.51456,0,17.919879500376144,2928.8209568570146
20363400,24.009118652343773,19.149987792968773,266.0,0,17.919879500376144,2928.8246198816023
20365200,24.001977539062523,19.700006103515648,312.05893,0,17.919879500376144,2928.824662723194
20367000,23.960595703125023,19.829400634765648,349.0,0,17.919879500376144,2928.824662723194
20368800,23.876428222656273,19.800012207031273,161.1254,0,17.919879500376144,2928.824662723194
20370600,23.761407470703148,19.649987792968773,0.0,0,17.919879500376144,2928.824662723194
20372400,23.648797607421898,19.499993896484398,0.0,0,17.919879500376144,2928.824662723194
20374200,23.542077636718773,19.350000000000023,0.0,0,17.919879500376144,2928.824662723194
20376000,23.443658447265648,19.200006103515648,0.0,0,17.919879500376144,2928.824662723194
20377800,23.334527587890648,18.432489013671898,0.0,0,17.919879500376144,2928.824662723194
20379600,23.203088378906273,17.600000000000023,0.0,0,17.919879500376144,2928.824662723194
20381400,23.101953125000023,17.403070068359398,0.0,0,17.919879500376144,2928.824662723194
20383200,23.016625976562523,17.200006103515648,0.0,0,17.919879500376144,2928.824662723194
20385000,22.935296630859398,16.900781250000023,0.0,0,17.919879500376144,2928.824662723194
20386800,22.860955810546898,16.600000000000023,0.0,0,17.919879500376144,2928.824662723194
20388600,22.790216064453148,16.351129150390648,0.0,0,17.919879500376144,2928.824662723194
20390400,22.716821289062523,16.100000000000023,0.0,0,17.919879500376144,2928.824662723194
20392200,22.616296386718773,14.880975341796898,0.0,0,17.919879500376144,2928.824662723194
20394000,22.479577636718773,13.600000000000023,0.0,0,17.919879500376144,2928.824662723194
20395800,22.373223876953148,13.238031005859398,0.0,0,17.919879500376144,2928.824662723194
20397600,22.281030273437523,12.999993896484398,0.0,0,17.919879500376144,2928.824662723194
20399400,22.196466064453148,12.851373291015648,0.0,0,17.919879500376144,2928.824662723194
20401200,22.116082763671898,12.700006103515648,0.0,0,17.919879500376144,2928.824662723194
20403000,22.030541992187523,12.325433349609398,0.0,0,17.919879500376144,2928.824662723194
20404800,21.937524414062523,11.999993896484398,0.0,0,17.919879500376144,2928.824662723194
20406600,21.867730712890648,12.392846679687523,0.0,0,17.919879500376144,2928.824662723194
20408400,21.824029541015648,12.899987792968773,0.0,0,17.919879500376144,2928.824662723194
20410200,21.773248291015648,12.944390869140648,0.0,0,17.919879500376144,2928.824662723194
20412000,21.718988037109398,12.999993896484398,0.0,0,17.919879500376144,2928.824662723194
20413800,21.674310302734398,13.307092285156273,0.0,0,17.919879500376144,2928.824662723194
20415600,21.638543701171898,13.600000000000023,0.0,0,17.919879500376144,2928.824662723194
20417400,21.526513671875023,13.437951660156273,0.0,0,17.919879500376144,2928.824662723194
20419200,21.464746093750023,13.300012207031273,0.0,0,17.919879500376144,2928.824662723194
20421000,21.431817626953148,13.547753906250023,0.0,0,17.919879500376144,2928.824662723194
20422800,21.428399658203148,13.899987792968773,0.0,0,17.919879500376144,2928.824662723194
20424600,21.463708496093773,14.363397216796898,0.0,0,17.919879500376144,2928.824662723194
20426400,21.500970458984398,14.800012207031273,0.0,0,17.919879500376144,2928.824662723194
20428200,21.513055419921898,15.007928466796898,0.0,0,17.919879500376144,2928.824662723194
20430000,21.524011230468773,15.200006103515648,0.0,0,17.919879500376144,2928.824662723194
20431800,21.552331542968773,15.568688964843773,0.0,0,17.919879500376144,2928.824662723194
20433600,21.594079589843773,15.999993896484398,0.4375,0,17.919879500376144,2928.824662723194
20435400,21.646997070312523,16.596582031250023,1.0,0,17.919879500376144,2928.824662723194
20437200,21.707086181640648,17.200006103515648,1.5,0,17.919879500376144,2928.824662723194
20439000,21.742089843750023,16.955133056640648,2.0,0,17.919879500376144,2928.824662723194
20440800,21.742242431640648,16.600000000000023,1.0,0,17.919879500376144,2928.824662723194
20442600,21.775720214843773,17.356256103515648,2.0,0,17.919879500376144,2928.824662723194
20444400,21.844018554687523,17.999993896484398,6.5,0,17.919879500376144,2928.824662723194
20446200,21.896142578125023,17.947503662109398,11.0,0,17.919879500376144,2928.824662723194
20448000,21.933831787109398,17.800012207031273,15.5,0,17.919879500376144,2928.824662723194
20449800,21.961236572265648,17.678582763671898,20.0,0,17.919879500376144,2928.824662723194
20451600,21.966363525390648,17.300012207031273,12.512931,0,17.919879500376144,2928.824662723194
