time,outside_temp,t_cor,t_nor,t_sou,t_wes,t_eas,tdis_tot,ener_tot,reward
361800.0,280.74118,298.65802,298.03278,298.28757,297.5166,297.9935,299.06065686035157,0.6660336125128534,-299.72669047286445
363600.0,280.8,299.634,298.71356,299.151,298.42285,298.86218,299.9762932128906,0.6678440486905372,-300.64413726158114
365400.0,280.80286,299.0735,298.18628,298.55862,297.87292,298.26074,299.41598010253904,0.6678892680308732,-300.0838693705699
367200.0,280.8,299.0224,298.56772,298.54538,297.90823,298.39417,299.43450805664065,0.6699735272068277,-300.1044815838475
369000.0,280.87167,299.66318,298.7267,299.13928,298.49182,298.8869,299.99704455566405,0.6717734188155768,-300.6688179744796
370800.0,280.93,299.4609,298.609,299.068,298.71835,298.72263,299.8266748046875,0.6731573065700972,-300.4998321112576
372600.0,280.872,297.96408,298.23557,297.1475,296.67578,296.7103,298.43340527343753,0.6768383415287538,-299.1102436149663
374400.0,280.81,298.1492,298.14932,297.2687,296.83127,296.9043,298.5689055175781,0.6806721913634801,-299.2495777089416
376200.0,280.79858,298.1861,298.18625,297.46548,296.934,297.0758,298.6294682617187,0.6841699926578002,-299.31363825437654
378000.0,280.79,298.18436,298.18073,297.6728,297.02625,297.21436,298.6263931361607,0.6875558830635142,-299.3139490192242
379800.0,280.78372,298.1492,298.1528,297.6508,296.96146,297.18152,298.59425397600444,0.6910064516870684,-299.2852604276915
381600.0,280.79,298.15045,298.15335,297.6358,296.92267,297.17957,298.5929984828404,0.6944441011460274,-299.28744258398643
383400.0,280.96414,298.15317,298.1543,297.64542,296.98282,297.1917,298.59647333635604,0.6978278926498548,-299.2943012290059
385200.0,281.2,298.1525,298.15396,297.6631,297.0939,297.20575,298.09570896693634,0.7011749223473596,-298.7968838892837
387000.0,281.32584,298.15182,298.1535,297.6817,297.1471,297.2182,298.09792368861605,0.7044978258078317,-298.8024215144239
388800.0,281.39,298.15097,298.15277,297.70053,297.18405,297.22867,298.05771475655695,0.7079043245830612,-298.76561908114
390600.0,281.33527,298.1499,298.15155,297.663,297.13348,297.203,298.0512267194475,0.7113053130514392,-298.76253203249894
392400.0,281.29,298.1502,298.15192,297.67264,297.118,297.20813,298.05292300851005,0.7145181186177234,-298.76744112712777
394200.0,281.334,298.15027,298.15225,297.79037,297.15918,297.27905,298.07044070870535,0.7177418848568686,-298.7881825935622
396000.0,281.38,298.15048,298.1505,297.7971,297.1357,297.2832,298.071327305385,0.7209663361983921,-298.7922936415834
397800.0,281.42834,298.15112,298.15015,297.78745,297.16412,297.28186,298.0702970319475,0.7241820678994523,-298.79447909984697
399600.0,281.44,298.1506,298.1497,297.767,297.20724,297.27567,298.0668379255022,0.7274017711225801,-298.7942396966248
401400.0,281.30658,298.1499,298.149,297.73563,297.21884,297.2639,298.06159683663503,0.7306390395452886,-298.7922358761803
403200.0,281.12,298.15027,298.1488,297.69763,297.23856,297.24945,298.0562043805803,0.7338828511961739,-298.7900872317765
405000.0,280.99298,298.15085,298.1488,297.65875,297.36166,297.23468,298.0508584333147,0.7371332843506173,-298.7879917176653
406800.0,280.86,298.14944,298.1489,297.6221,297.34882,297.21942,298.04445926339287,0.7405017861399941,-298.78496104953285
