Tin_degC,Tout_degC,Psol_Wm2,Price,Action,Reward,Done
21.997925,10.755829,231.66582,-0.8,10,-0.34938505,0.0
22.169403,10.799591,234.81702,-0.8,8,-0.3581212,0.0
22.33728,10.8576355,238.44934,-0.8,4,-0.3645878,0.0
22.372375,11.037384,240.85222,-0.8,9,-0.3738619,0.0
22.419983,11.254578,243.12077,-0.8,4,-0.38034678,0.0
22.476227,11.467224,245.38864,-0.8,10,-0.39024296,0.0
22.540527,11.511688,247.6572,-0.8,7,-0.39848715,0.0
22.654083,11.571991,250.29958,-0.8,2,-0.40386206,0.0
22.680481,11.643219,253.9596,-0.8,2,-0.40919858,0.0
22.60794,11.72467,258.38388,-0.8,10,-0.41906115,0.0
22.612976,11.8685,263.28442,-0.8,1,-0.4238934,0.0
22.658844,11.901947,265.80496,-0.8,3,-0.42978126,0.0
22.627289,11.810059,268.07285,-0.8,4,-0.43624493,0.0
22.627075,11.816437,269.88727,-0.8,9,-0.44563034,0.0
22.724548,11.874542,271.9274,-0.8,10,-0.4557555,0.0
22.940063,11.834564,277.92242,-0.8,0,-0.45584038,0.0
23.01416,11.83429,286.5349,-0.8,8,-0.46465987,0.0
23.026825,11.957764,294.59152,-0.8,5,-0.47180477,0.0
23.128113,12.230743,302.53113,-0.8,6,-0.4795241,0.0
23.226318,12.3246155,307.30432,-0.8,0,-0.47958854,0.0
23.220947,12.340637,305.22614,-0.8,6,-0.48721,0.0
23.198578,12.468933,305.91354,-0.8,4,-0.49374634,0.0
23.269867,12.593323,307.1264,-0.8,3,-0.49969694,0.0
23.281586,12.586517,307.36734,-0.8,9,-0.50916183,0.0
23.29779,12.558197,307.13818,-0.8,8,-0.5181392,0.0
23.39801,12.648499,308.13782,-0.8,2,-0.5235657,0.0
23.451233,12.66333,309.27243,-0.8,2,-0.52894795,0.0
23.393616,12.683868,310.40634,-0.8,6,-0.5366389,0.0
23.354828,12.810822,311.54028,-0.8,1,-0.5414675,0.0
23.37674,12.878235,312.67493,-0.8,6,-0.5491402,0.0
23.35971,12.805237,313.80887,-0.8,6,-0.5568728,0.0
23.418274,12.7561035,313.90994,-0.8,6,-0.56461793,0.0
23.497742,12.7838745,312.11694,-0.8,5,-0.5717769,0.0
23.57013,12.762299,313.11246,-0.8,8,-0.580737,0.0
23.665405,12.836487,316.1266,-0.8,6,-0.5885406,0.0
23.7818,12.937134,315.3256,-0.8,7,-0.59693456,0.0
23.877838,13.028839,312.3551,-0.8,4,-0.6035358,0.0
23.939148,13.149506,312.58286,-0.8,5,-0.6106969,0.0
23.957886,13.296936,314.35367,-0.8,7,-0.61919403,0.0
24.006287,13.41861,312.26093,-0.8,3,-0.642007,0.0
24.045563,13.496246,308.32333,-0.8,3,-0.66531056,0.0
24.016571,13.519989,306.016,-0.8,8,-0.6798977,0.0
24.028778,13.581299,305.09186,-0.8,8,-0.7281833,0.0
24.136963,13.6310425,307.48224,-0.8,3,-0.8260405,0.0
24.208618,13.59433,313.37964,-0.8,2,-0.93088984,0.0
24.175507,13.609772,312.85217,-0.8,8,-1.0206641,0.0
24.17392,13.746826,309.47525,-0.8,0,-1.1082119,0.0
24.13559,13.837585,311.1734,-0.8,8,-1.16684,0.0
24.10196,13.795624,313.44128,-0.8,4,-1.2403072,0.0
24.158234,13.79364,315.7098,-0.8,5,-1.3348731,0.0
24.192657,13.745087,317.9784,-0.8,5,-1.4478236,0.0
24.229095,13.702484,319.93057,-0.8,8,-1.5848042,0.0
24.296204,13.773773,320.8361,-0.8,2,-1.7558697,0.0
24.343506,13.817352,320.74884,-0.8,5,-1.9316155,0.0
24.337708,13.863525,319.2757,-0.8,4,-2.1109607,0.0
24.351715,13.948517,316.2304,-0.8,7,-2.3032722,0.0
24.398132,14.008453,312.05258,-0.8,6,-2.5337594,0.0
24.49356,14.001099,313.63925,-0.8,2,-2.8008459,0.0
24.532349,14.018829,317.6662,-0.8,10,-3.0859592,0.0
24.600464,14.077637,320.49545,-0.8,8,-3.441049,0.0
24.788147,14.198517,322.70724,-0.8,10,-3.8982842,0.0
25.007233,14.24765,322.26422,-0.8,8,-4.4685454,0.0
25.229767,14.333923,318.75372,-0.8,6,-5.135698,0.0
25.394318,14.571655,320.79663,-0.8,1,-5.855987,0.0
25.442047,14.849152,324.84912,-0.8,1,-6.5758853,0.0
25.414429,15.1310425,326.28558,-0.8,4,-7.2846894,0.0
25.40274,15.339478,327.41953,-0.8,8,-8.004428,0.0
25.456451,15.399933,328.55347,-0.8,5,-8.760531,0.0
25.52835,15.364929,329.6881,-0.8,2,-9.534064,0.0
25.52655,15.350128,333.09476,-0.8,0,-10.272106,0.0
25.39972,15.418182,340.187,-0.8,9,-10.955952,0.0
25.346222,15.509247,342.60443,-0.8,7,-11.661166,0.0
25.441345,15.506958,343.59644,-0.8,7,-12.41583,0.0
25.544556,15.346313,343.66565,-0.8,5,-13.21711,0.0
25.619995,15.278534,343.66565,-0.8,2,-14.033353,0.0
25.59964,15.399048,343.66565,-0.8,4,-14.814858,0.0
25.498962,15.529755,343.66565,-0.8,0,-15.5271,0.0
25.323395,15.625336,343.60266,-0.8,3,-16.142475,0.0
25.13263,15.599548,342.36768,-0.8,2,-16.68027,0.0
25.000366,15.472015,332.8047,-0.8,0,-17.142836,0.0
24.835144,15.249634,310.6535,-0.8,2,-17.5233,0.0
24.68103,15.007996,295.8355,-0.8,0,-17.829636,0.0
24.531616,14.840454,284.71356,-0.8,1,-18.059244,0.0
24.376251,14.631195,279.68286,-0.8,10,-18.242252,0.0
24.357971,14.435974,279.42047,-0.8,1,-18.442331,0.0
24.39859,14.246704,283.27225,-0.8,0,-18.621424,0.0
24.295013,14.049927,288.53766,-0.8,10,-18.760345,0.0
24.269531,14.026764,289.5165,-0.8,2,-18.922699,0.0
24.340515,14.078217,289.36008,-0.8,1,-19.093512,0.0
24.308075,13.9470215,288.51135,-0.8,3,-19.236149,0.0
24.243866,13.914734,287.13165,-0.8,4,-19.356525,0.0
24.21991,14.004639,289.94363,-0.8,4,-19.47445,0.0
24.228516,13.963562,297.53088,-0.8,3,-19.596233,0.0
24.229828,13.882233,297.64722,-0.8,2,-19.71034,0.0
24.199066,13.851898,296.18097,-0.8,3,-19.805021,0.0
24.158508,13.862793,296.0287,-0.8,4,-19.884445,0.0
